Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7891746,POWER SUPPLY 64V 40A,POWER SUPPLY 64V 40A,"Portable Power Supply Unit, Cotton Towelling And Towels Conforming To IS 7056 (V4), DC Regulated Power Supply As Per MHA QRs, Switch Mode Power Supply (V2) Conforming To IS 14886 (Under BIS Scheme - II), Switching Power Supply for Wireless Application, Online UPS (≤10 KVA) Without Battery Conforming To IS 16242 (Part 1), Computer Monitor (V2), Online UPS (≤10 KVA) With Battery Conforming To IS 16242 (Part 1), Online UPS (>10 KVA) Without Battery, V - Belts - Endless V - Belt for Industrial Purposes as per IS 2494",DC Regulated Power Supply As Per MHA QRs Portable Power Supply Unit,Portable Power Supply Unit,Weak — review,42%
GEM/2026/B/7893214,"Unsaturated Resin Button, Slot Cut, Colour Olive Green, Single Slit, Size 19mm","Unsaturated Resin Button, Slot Cut, Colour Olive Green, Single Slit, Size 19mm",Category not available on GeM for the text string uploaded by the buyer,Button Cotton Unbreakable as per Defence Specification Plastic Button (Thermosetting) as per IS 1461,Unsaturated Polyester Resin-IS 6746,Weak — review,51%
GEM/2026/B/7893190,"ELBOW, TUYERE STOCK, 102311711-30, BF , BLOW PIPE, C. UIC0. RB. 32.0320- M DLZ020, BF , PEEP SIGHT, C. UIC0. RB. 32.0320- M ZSZ004, BF , DOWN LEG FOR TUYERE STOCK",1. PART NAME : DOWNLEGS FOR TUYERE STOCK 2. TYPE : FOR BF 1 AND 2 3. DRAWING REFERENCE : C.UIC0.RB.32.0320-M ZSZ002 4. EQUIPMENT NAME : TUYERE STOCK ASSEMBLY 5. EQUIPMENT MAKE : M S PRIMETALS TECHNOLOGIES (I) PVT LTD,Category not available on GeM for the text string uploaded by the buyer,Dolomite For Metallurgical (For Steel Industry) And Refractory Use conforming to IS 10346,Cast copper tuyere - IS 8859,Weak — review,48%
GEM/2026/B/7893193,"ALUMINIUM PIPE OD: 32MM WALLTHICKNESS: 1MM, LENGTH: 3000 TO 6000MM, GRADE: AMG2M TO GOST: 18475-73: NEAREST","ALUMINIUM PIPE OD:32MM WALLTHICKNESS:1MM,LENGTH:3000 TO 6000MM,GRADE:AMG2M TO GOST:18475-73:NEAREST INDIAN EQUIVALENT,GRADE:52000, 'O'CONDITION, IS:738","Peptone, Microbiological Grade Conforming to IS 6853, Polyethylene Pipes for Water Supply conforming to IS 4984, Pipe Clamps (V2), Writing Pens, PLASTIC BIB TAPS, PILLAR TAPS, ANGLE VALVES & STOP VALVES FOR HOT & COLD WATER SERVICES Conforming to IS 9763, Padlocks ( ) conforming To Is 15275, Terminal Ends for Aluminium Conductors of Insulated Cables (Compression Cable Lugs) Conforming To IS 8309, Unplsticized PVC Pipes for Water Supply conforming to IS 4985, XLPE Cable, Working Voltage from 3.3 kV up to and including 33 kV (V2) ISI Marked to IS 7098 (Part 2), Leather Gauntlets and Mittens (V2) Conforming to IS 2573",Universal Indicator,Large Outer Diameter Casing Pipes (Petroleum Industry),Weak — review,57%
GEM/2026/B/7891683,GM BILLET 254 X 340-350 MM,GM BILLET 254 X 340-350 MM,"Compostable Carry Bags (V2), Wooden Lab Stools, M.S Stopper for Traffic Control (Portable Barrier)","Rolled Copper and Copper Alloy Sheet, Strip and Foil",Ring Type Needle Bearings - IS 4215,Weak — review,45%
GEM/2026/B/7895129,PULSE HV SENSOR WITH SCOPE,PULSE HV SENSOR WITH SCOPE,"Dental RadioVisioGraphy (RVG) Unit (V2), Breath Analyser, Line Interactive UPS with AVR (V2), Temperature controlled soldering station, Soil Moisture Sensor",High Voltage Probe Temperature sensor Ultrasonic pulse velocity tester,Pulse Oximeter (V2),Weak — review,50%
GEM/2026/B/7893164,Oils and Lubricants for Aircraft Rescue and Fire Fighting (ARFF) Vehicles,Procurement of Oils and Lubricants for Aircraft Rescue and Fire Fighting (ARFF) Vehicles,"Fire Fighting and Hydraulic Rescue Platform (V3), Cutting Oil (V2)","Automatic Transmission Fluid Gear Lubricants, Multipurpose ( Extreme Pressure Gear Oil ) (V3) Conforming to IS 1118 Internal Combustion Engine Crankcase Oils for Automotive Application (V2) Conforming to IS 13656",Pneumatic tool oils,Weak — review,65%
GEM/2026/B/7818599,procurement of cctv system with installation (qty-38 cameras and accessories),procurement of cctv system with installation (qty-38 cameras and accessories),Category not available on GeM for the text string uploaded by the buyer,Video Recorder for CCTV System (V2),Camera for CCTV System (V3),Weak — review,65%
GEM/2026/B/7913487,SEAL KIT FOR POWER CY; NIPLC- 112175,SEAL KI FOR POWER CY; NIPLC- 112175,"Hydraulic Cylinder Seal Kit, Electric Trap for insects (UV based Electric Zappers), Power Cord For Computer (V2), Waste Fittings for Washbasin and Sinks as per IS 2963, Power Spray Machine for Disinfection Purpose, Solar Power Plant (Roof Top) for ONGRID System, Three Phase (V2), Power Bank for Mobile and Laptops (V2), Copper Alloy Gate Valve For Waterworks Purpose (V2) Conforming to IS 778, Power Control Center (PCC) Panel for Power Distribution, Porcelain Insulators For Overhead Power Lines with Nominal Voltage Greater Than 1000 V Conforming To IS 731",Hydraulic Cylinder Seal Kit,Hydraulic Cylinder Seal Kit,Weak — review,69%
GEM/2026/B/7933587,DEVICE FOR FILING SHOCK STRUT,DEVICE FOR FILING SHOCK STRUT,"Steel Filing Cabinets for General Office Purpose conforming to IS 3313 (V2), File Folder (V3), Reflective Bird Repellent Device, Shock Baton (MHA), SOVP Device for Street light Pole Mounted, Mobile Device Forensic Extraction Software, Tags For Files (V3) Conforming to IS 8499, SPARE Add On Bluetooth earphone Device For Transreceiver-Handheld, Single Use Sterile Hypodermic Syringes for Human Use Conforming to IS 10258 (Part 1), Consumable for High Frequency Chest Wall Oscillation Device",Behaviour of Columns & Struts Apparatus,Shock Baton (MHA),Weak — review,54%
GEM/2026/B/7933651,"INJ TILDRAKIZUMAB 100MG, 1 PREFILLED SYRINGE","INJ TILDRAKIZUMAB 100MG, 1 PRE FILLED SYRINGE","Sterile Single-Use Insulin Syringes for Human Use Conforming to IS 12227, Erythropoietin Injection",Lumpy Skin Disease Veterinary Vaccine,Syringe Infusion Pump,Weak — review,54%
GEM/2026/B/7933638,Gas Outlet Medical air Oxygen,Gas Outlet Medical air Oxygen,"Oxygen Gas Regulators (Version 2), Oxygen Concentrator (V2), Medical Oxygen Gas Cylinders - Steel (Normalized) (V2), Venturi Medical Oxygen Masks with Tubing (V2), Oxygen, Compressed Gas and Liquid (V3) Conforming to IS 309, PSA Oxygen Generator (V2), Air Mattress for Medical Use (V2), Balloons, Electric A C Gas Leak Detector Complete Set Kit for Educational Purpose, Manual Single Channel Air Displacement Pipetters Or Micropipette (V2)",Medical Oxygen Gas Cylinders - Aluminium,Medical Oxygen Gas Cylinders - Steel (Normalized) (V2),Weak — review,60%
GEM/2026/B/7933583,SEAL TIN (FOR STEEL TAPE BANDING SIZE 12.7 MM WIDE) . APPRX. SIZE 25.41 MM LENGTH X 12.7 MM WIDTH X 0,SEAL TIN (FOR STEEL TAPE BANDING SIZE 12.7 MM WIDE). APPRX. SIZE 25.41MM LENGTH X 12.7 MM WIDTH X 0.3 MM THICK AND BEND OF 90 DEGREE ANGLE BOTH SIDE LONGITUDINALLY WITH HEIGHT 6.3 MM AS PER SPECIFICATION:IS-1993:2006,Category not available on GeM for the text string uploaded by the buyer,Hydraulic Cylinder Seal Kit STEEL STAMP NUMBER,Thread Sealant Tape,Weak — review,53%
GEM/2026/B/7933580,"Panel mounting socket water tight IP67of 125 AMP, 5 Pin, 415 Volt Amp , Plug water tight IP67 of 125 AMP, 5 Pin, 415 Volt AC , MCCCB of 125 amp breaking capacity 36KA, 4 pole thermal magnetic realse adjustable overload 80-100% , Single core flexible uninyvin cable 600 Volt AC size U4 for suitable current rating 160 AMP , 50MM PVC flexible corrugated plastic conduit pipe , Indoor type totally enclosed panel IP20, 1.5 MM thickness fabricated from stainless steel","Indoor type totally enclosed panel IP20, 1.5 MM thickness fabricated from stainless steel",Category not available on GeM for the text string uploaded by the buyer,Electrical Extension Box (V4),"Flat Cable, Copper Conductor with PVC Insulation and Sheathed ISI Marked To IS 694",Weak — review,54%
GEM/2026/B/7930449,DESKTOP COMPUTER WITH ACCESSORIES,DESKT,"Entry and Mid Level Desktop Computer, High End Desktop Computer, Virtualisation Software, Thin Client Computers (V3), Desktop Computer Chassis Cabinet, Internal Storage Device (SSD HDD) (V2), Computer Motherboards, Computer Processors, Enterprise Remote Access and Support Software, Desktop Trays or Organizers (V2)",Entry and Mid Level Desktop Computer,High End Desktop Computer,Weak — review,70%
GEM/2026/B/7919431,"Main Wheel repairing sonalika tractor , Front Tyre rod & alignment of sonalika tractor , Gear box repairing of sonalika tractor , Hood assembly , Fuel line service sonalika tractor , All light repairing of sonalika tractor , PTO reparing of sonalika tractor , Clutch adjusting of sonalika tractor , battery box repairing of sonalika tractor , Handle streeing box of sonalika tractor , Change of engine oil",Change of engine oil,"Marine Engine Oil, Revolving Chair (V5), FPO - Oil Of Lemongrass As Per IS 327, Internal Combustion Engine Crankcase Oils for Automotive Application (V2) Conforming to IS 13656, FPO - Oil Of Palmarosa As Per IS 526, FPO - Oil Of Citronella As Per IS 512, Synthetic Oil for AVON LM 2500 and RB 211 engines installed at MH Asset (ONGC), High Visability Reflective Vest, GUM SPIRIT OF TURPENTINE (OIL OF TURPENTINE) conforming to IS 533, Portable Dissolved Gas Analysis of Transformer Oil (Powergrid)",Track Suit with Detachable Hood (MHA),Vehicle Servicing and Repairing Kit (Gujarat Govt),Weak — review,52%
GEM/2026/B/7919414,"SCANIA ENGINE OIL LDF-4 , COOLANT SUITABLE FOR NAFFCO ARFF",COOLANT SUITABLE FOR NAFFCO ARFF,"Flood Light Luminaire suitable for HPSV Lamps, Cable Joint Kit Suitable for Cables Up to and Including 33 kV (V2), General Purpose Battery Chargers, Cable Termination Kit Suitable for Cables Up to and Including 33 kV (V2), Copper Alloy Gate Valve For Waterworks Purpose (V2) Conforming to IS 778, Splice Closure for Optical Fiber Cables (V2) (Suitable For Non-Ribbon Fibre Splicing) As Per TEC Specification, Cutting Oil (V2), Glycol Based Antifreeze Coolant (DAFC 30 & DAFC 50) - Defence (V2), LED Diving Torch Light (Diving Instruments or Accessories), Field Hockey Balls",LED Diving Torch Light (Diving Instruments or Accessories),Glycol Based Antifreeze Coolant (DAFC 30 & DAFC 50) - Defence (V2),Weak — review,40%
GEM/2026/B/7896541,"M9438226142, PORTABLE H2 PURITY ANALYZER: 0-100%",PORTABLE H2 PURITY ANALYZER: 0-100%,"Digital Monitoring Receiver (Hand-held) as per MHA QR, Reciprocating Air Compressors - Electric Motor Driven, Digital Water Quality Testers Analyzers (Jal Jeevan Mission), USB Type External Hard Disk Drive (V3), Digital BMI Machine (V2), Respirable Dust Sampler as per IS 5182, Chlorinated Polyvinyl Chloride (CPVC) Pipes For Portable Hot and Cold Water Distribution Supplies (V3) conforming to IS 15778, Electronic Weighing Scales, Fabricated PVC-U Fittings for Portable Water Supplies conforming to IS 10124 (Part 1), PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694",Hydrogen (H2) Detector (V1),Hydrogen Breath Analyzer (V2),Weak — review,63%
GEM/2026/B/7826681,SUITCASE 26'',SUITCASE 26'',"Suitcase (V2), water baths, Suitcase with Trolley (CRPF), Acrylic Jersey - Children of Anganwadi Centres, Suitcase as per Indian Coast Guard Specifications (V2), Tin Ingots conforming to IS 26, 2,4-Dinitrophenylhydrazine Reagent Solution, Compostable Bio-Medical Waste Collection Bags (Biohazard Bags) (V3), Aluminium Ammonium Sulphate Dodecahydrate, Nitric Acid (V3) Conforming to IS 264 (In Liter)",Suitcase (V2),Suitcase (V2),Weak — review,66%
GEM/2026/B/7928120,"Supply and Stacking of Coarse Sand , Supply and Stacking of Stone Aggregate 10 mm , Supply and Stacking of Stone Aggregate 20 mm , Supply and Stacking of Stone Aggregate 40 mm",Stone Aggregate 40 mm,"Stone Aggregate Products from Deeg - ODOP, PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694, Coarse Aggregate (V2) Conforming to IS 383, Galvanized Steel Chain Link Fence Fabric (V2) conforming to IS 2721, Copper Alloy Gate Valve For Waterworks Purpose (V2) Conforming to IS 778, PVC Single Core and Multi Core Circular Sheathed Aluminium Cable with Rigid Conductor (V2) as per IS 694, Kidney Trays Conforming to IS 3992, Drilling Machine Bench Type Pillar Type as per IS 2425, Flat Cable, Copper Conductor with PVC Insulation and Sheathed ISI Marked To IS 694, Polyethylene Pipes for Water Supply conforming to IS 4984",Coarse Aggregate (V2) Conforming to IS 383 Fine Aggregate (V2) Conforming to IS 383,Stone Aggregate Products from Deeg - ODOP,Weak — review,54%
GEM/2026/B/7902673,Providing and fixing Solar Security light with Pole and Accessories,"Providing and Fixing Solar Security Light with Pole and Accessories Including Cement, Concrete Installation work as per desire location",Category not available on GeM for the text string uploaded by the buyer,Solar Aviation Light,Solar Torch Light,Weak — review,60%
GEM/2026/B/7933684,Supply of filled Oxygen Gas Filled Cylinder,Supply of filled Oxygen Gas Filled Cylinder,"Medical Oxygen Gas Cylinders - Steel (Normalized) (V2), Hydraulic Cylinder and Hand Pump Set, Polyethylene Pipes For The Supply Of Gaseous Fuels (V2) As Per Is 14885, Gold Purity Testing Meter Karat Meter (V2), Dental Composite Filling Instruments Kit",Medical Oxygen Gas Cylinders - Steel (Normalized),Breathing Air Cylinder Fill Containment Cabinet,Weak — review,63%
GEM/2026/B/7933632,Global Mapper software,Global Mapper software,"Receiver for Global Navigation Satellite System (GNSS) (V1), Enterprise Remote Access and Support Software, hand held gps, Chemical Indicator for ETO Sterilization Process, Controller for Global Navigation Satellite System (GNSS), Entry and Mid Level Desktop Computer, Accessibility Software, Sterilization Packaging Material, Virtualisation Software, Writing Pad Chair",Receiver for Global Navigation Satellite System (GNSS) (V1),Maps,Weak — review,57%
GEM/2026/B/7932549,"FUSE LINK PBD-160 160A SR6001D-PBD-160 , VOLTAGE REGULATOR PCB PH 32 SR6001D-4XBNE-527573 , CAPACITOR CTR EQV 1000AEF, 400V SCREW TYPE EK333B- 5102203001901100470","CAPACITOR CTR EQV 1000AEF, 400V SCREW TYPE EK333B- 5102203001901100470",Watermist and Caf Fire Extinguisher Low Pressure Back Pack Type (V2),Aviation Lights Glow Sticks,D-Type Fuses as per IS:8187,Weak — review,50%
GEM/2026/B/7928239,Procurement of Flag Stand for ICGS Pipavav,Procurement of Flag Stand for ICGS Pipavav Against SOC,Category not available on GeM for the text string uploaded by the buyer,Indian National Flag for Table with Stand,Decorative Flag (V2),Weak — review,46%
GEM/2026/B/7830594,Guard Post,Guard Post,"Bed Guard, Spring post, RCC Guard stone Type B (Cement or concrete posts), Handball Post, Santry Post, RCC Guard stone Type A (Cement or concrete posts), Chest Guard- Gymnastic, Lighting Pole or Post and Hardware - Tubular Street Light Poles (V2), Cricket hand guard, Tree Guard (V3)",RCC Guard stone Type B (Cement or concrete posts),Spring post,Weak — review,53%
GEM/2026/B/7876879,IR Based Surveillance System,IR Based Surveillance System,"Surveillance Hard Disk (V2), Reverse Osmosis based Water Treatment System above 50 LPH Capacity (V2), Non- Aadhaar Based Biometric Attendance System, File And Leave Management System Software, PLC based fire alarm system, LED Based Information Display System, Surveillance Drone Unmanned Aerial Vehicle (V2), Modular Work Stations (V3), Non electric Potable water purification system gravity or inline based, Potable Water Purification System DE - Ionization Based",Single and dual beam IR sensor,Infrared Illuminator,Weak — review,54%
GEM/2026/B/7932175,SECONDARY CABLE,SECONDARY CABLE,"Secondary Antioxidant AO 168, XLPE Cable for Working Voltage up to and Including 1.1 KV Marked To IS 7098 (Part 1), Secondary Stage Mathematics Kit (NCERT), Sofa (V3), Corrugated Fibreboard Boxes - Secondary packaging, PVC Insulated Unsheathed Cable with Flexible Conductor ISI Marked To IS 694, Secondary Stage Mathematics Kit (NCERT), PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694, Secondary Stage Physics Laboratory Kit (NCERT), PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2) ISI Marked To IS 694",Electric cables for photovoltaic (PV) systems for rated voltage 1500 Volt d.c. ISI Marked to IS 17293 Ethernet Cables Antenna Cable,Signal/ Triad  Cable,Weak — review,67%
GEM/2026/B/7932348,CELL 1.2V 180 AH NI-CD TYPE 24 NOS,CELL1.2 V 180 AHNI-CD,"PENICILLIN V, Cotton Towelling And Towels Conforming To IS 7056 (V4), Compact Disk Cases - CD - DVD Case, V - Belts - Endless V - Belt for Industrial Purposes as per IS 2494, Digital pH Meter, V - Belts - Endless Narrow V - Belts for Industrial use as per IS 14261, Bamboo Tent Poles (V2) as per IS 7344, Jersey Mens Woollen 'V' Neck (Defence), Portable Fire Extinguishers (V3) ISI Marked to IS 15683, Ammonium Metavanadate",Shock Baton (MHA) Shear Beam Load cell,Sealed Nickel Cadmium Button Type Rechargeable Single Cells Conforming to IS 10893,Weak — review,59%
GEM/2026/B/7932268,Circular Marking Disc,Circular Marking Disc,"Marking Cones, Portable Fire Extinguishers (V3) ISI Marked to IS 15683, Laser marking machine, Oxidase disc, PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694, Disc Friction, Laboratory Glassware Volumetric Flask, Sander Disc, PVC Insulated Copper Cord Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2) ISI Marked To IS 694, Electro Etcher Marking machine",Sander Disc,Disc Friction,Weak — review,59%
GEM/2026/B/7906074,"OXIDISED REGENERATED CELLULOSE SIZE 2X3INCH BOX OF TEN , OXIDISED REGENERATED CELLULOSE SIZE 4X8 INCH BOX OF TEN , OXIDISED REGENERATED CELLULOSE SIZE 1X2 INCH BOX OF TEN , OXIDISED REGENERATED CELLULOSE SIZE 2X4 INCH BOX OF TEN",OXIDISED REGENERATED CELLULOSE SIZE 2X4 INCH BOX OF TEN,"Cleaning Duster (V3), Corrugated Boxes, File Storage Box (V2), General Purpose Hand Gloves (V2), Facial Tissue Papers(V3)",Corrugated Boxes,Poly Anionic Cellulose (Regular Grade) (ONGC),Weak — review,44%
GEM/2026/B/7863006,"SPRING TO DRAWING NO: 700-38-1304. , SPRING 672-38- 122",SPRING 672-38-122,"Lubricating Grease, Spring post, Spring Balance, Spring Rider, Ethyl Ester 38% Ec (2-4-D) (V2), Spiral Spring (SAIL), Spring Testing Machine (V2), Stainless Steel Conical Spring Washer - BHEL, Spring Bars For Watch Cases and Straps Conforming to IS 10865, 2-Phenoxyethanol",Universal Indicator,Spring Washers-IS:12511,Weak — review,55%
